author,old_author,title,old_title,sub_title,old_sub_title,publisher,old_publisher,publication_date,old_publication_year,old_original_title,old_original_subtitle,old_purchase_date,old_my_rating,image_name,old_cover,old_categories,isbn-13,isbn-10,old_isbn,old_took,old_notes,format,old_print_format,nof_pages,old_read_it,description,old_description,language,language_iso
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 19",Blade of the immortal 19, Badger Hole,Badger Hole,Dark Horse Manga,nan,2008-06-24,nan,nan,nan,2016-10-09,0,9781593079697.jpg,nan,nan,9781593079697,1593079699,9781593079697,nan,nan,Paperback,nan,168,No,"The time for reconnaissance, planning, and waiting is over! Rin and Doa, desperate to be reunited with their friends (or even reassured that they&apos;re alive), take their first bold steps in penetrating Edo Castle&apos;s defenses and foiling Kagimura&apos;s foul ""immortality"" experiments! A trip to an old doctor, a chance encounter with a high-strung peasant, and an appearance by a strange, all-new Itto-ryu warrior combine to make this volume an important series of encounters in persistent Rin&apos;s quest to find Manji and Isaku-and in her own growth as a warrior! The ""Badger Hole"" is a dank passageway that leads to an underground tunnel system beneath Edo Castle. With some new skills and tricks, these two young ladies brave darkness and the promise of death to run headlong towards Kagimura&apos;s cruel prisons, where Manji hangs drugged and helpless!",nan,English,en
Hiroaki Samura,"Wayne Truman, Tomoko Saito",Blade of the Immortal,Blade of the immortal 2, Cry of the Worm Vol.2,Cry of the Worm,Dark Horse Manga,Dark Horse Manga,1998-04-01,nan,nan,nan,2016-10-09,0,9781569713006.jpg,https://books.google.ru/books/content?id=DMs3AQAAIAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781569713006,1569713006,9781569713006,nan,nan,Paperback,nan,176,No,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality. The curse of the bloodworm is what keeps him alive--slit his throat or stab him in the heart and these mystical worms will force his body to heal. This immortal curse will not be lifted until Manji has killed one thousand evil men! If you like samurai action, Hiroaki Samura's ""Blade of the Immortal will keep you on edge.","Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
Hiroaki Samura,"Hiroaki Samura, Tomoko Saito","Blade of the Immortal, Vol. 20",Blade of the immortal 20, Demon Lair,Demon Lair,Dark Horse,nan,2008-12-23,nan,nan,nan,2016-10-09,0,9781595821997.jpg,https://books.google.ru/books/content?id=QdHJMgAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781595821997,1595821996,9781595821997,nan,nan,Paperback,nan,280,No,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents` killers.","Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 21",Blade of the immortal 21, Demon Lair II,Demon Lair II,Dark Horse Manga,nan,2009-08-04,nan,nan,nan,2016-10-09,0,9781595823236.jpg,nan,nan,9781595823236,1595823239,9781595823236,nan,nan,Paperback,nan,232,No,"A prisoner subjected to Habaki Kagimura and crazy Doc Burando&apos;s twisted experiments for far too long, Manji finds himself closer to freedom than ever before-but several colorful villains block his way! While the shogun&apos;s executioner matches Manji and DÂ¿a&apos;s skills, the reborn, powerful Isaku struggles with Asaemon and Kagimura&apos;s henchmen. The breakout battle in the tunnels beneath Edo Castle continues! With plenty of mortal enemies to go around, Manji and company are surprised by the appearance of Burando&apos;s most horrific kessen-chu success story, just as the already treacherous tunnels begin to flood. Rin tries to remain hopeful, Burando faces the reality of his ""immortality experiments"" on Manji, and a monstrous villain makes a return appearance!",nan,English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 22",Blade Of The Immortal 22, Footsteps,Footsteps,Dark Horse Manga,Dark Horse Comics,2010-01-26,2010.0,nan,nan,2016-06-18,0,9781595824431.jpg,nan,nan,9781595824431,159582443X,9781595824431,nan,nan,Paperback,nan,224,No,No Information Available,nan,English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 23",Blade Of The Immortal 23, Scarlet Swords,Scarlet Swords,Dark Horse Manga,Dark Horse Comics,2011-02-15,2011.0,nan,nan,2016-06-18,0,9781595826718.jpg,nan,nan,9781595826718,1595826718,9781595826718,nan,nan,Paperback,nan,224,No,To atone for the atrocities committed under his watch  Habaki Kagimura is no longer the top general for Edo castle and the shogunate  and - he must commit ritual suicide. While his replacement gave the despised Itto-ryu gang a reprieve and an order to leave Edo and remain in exile  Kagimura still has one shot to redeem himself. Desperate and with very little time left  he's assembled his Rokki-dan warriors - with Kagimura's own daughter among their numbers - and he now seeks to hunt down and wipe out the Itto-ryu for good. But in his haste  will he fall for a string of traps planned by Anotsu  their devious leader? Freed and unfazed by his time in Edo's dungeons  Manji searches for his missing limb  and a few old friends return to the pages of this action-filled  epic manga series.,nan,English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 24",Blade Of The Immortal 24, Massacre,Massacre,Dark Horse Manga,Dark Horse Manga,2011-11-08,2011.0,nan,nan,2016-06-18,0,9781595827517.jpg,nan,nan,9781595827517,159582751X,9781595827517,nan,nan,Paperback,nan,208,No,"There's going to be a massacre at Edo Castle! While the bitter Kagimura believes that he's sending his forces chasing after Anotsu and the entire Itto-ryu crew  Anotsu fakes them all out and risks his life in one mad dash back to Edo Castle grounds! What is his strange mission? Hiroaki Samura's widely acclaimed ""Blade of the Immortal"" manga series has won awards across the globe  including the Eisner Award in America  the prestigious Media Arts Award of Japan  and multiple British Eagle Awards.",nan,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 25,Blade Of The Immortal 25, Snowfall At Dawn,Snowfall At Dawn,Dark Horse Manga,nan,2012-08-14,2012.0,nan,nan,2016-06-18,0,9781595828835.jpg,nan,nan,9781595828835,1595828834,9781595828835,nan,nan,Paperback,Paperback,224,No,,nan,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 26,Blade Of The Immortal 26, Blizzard,Blizzard,Dark Horse Manga,Dark Horse Comics,2013-03-26,2013.0,nan,nan,2016-06-18,0,9781616550981.jpg,nan,nan,9781616550981,1616550988,9781616550981,nan,nan,Paperback,Paperback,224,No,,nan,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 27,Blade Of The Immortal 27, Mist on the Spider's Web,Mist On The Spider's Web,Dark Horse,Dark Horse Manga,2013-09-24,2013.0,nan,nan,2016-06-18,0,9781616552152.jpg,nan,nan,9781616552152,1616552158,9781616552152,nan,nan,Paperback,nan,240,No,,nan,English,en
