author,title,sub_title,org_title,org_sub_title,volume,publication_date,org_publication_year,print_format,pages,publisher,cover,language,language_iso,isbn-13,isbn-10,description
David Eddings,Demonen I Karanda,Sagan Om Mallorea - 3,Book Three Of The Malloreon,Demon Lord of Karanda,,,1994.0,,,B. Wahlström,placeholder.png,,,9789132318337.0,,
David Eddings,Den Dolda Staden,Sagan Om Tamuli - 3,Book Three Of The Tamuli,The Hidden City,,,1998.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132322716.0,,
David Eddings,Den Vördade,Drömmarna - 2,Book Two Of The Dreamers,The Treasured One,,,2006.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332142.0,,
David Eddings,Diamanttronen,Sagan Om Elenien - 1,Book One Of The Elenium,The Diamond Throne,,,1994.0,,,B. Wahlström,placeholder.png,,,9789132318795.0,,
David Eddings,Hertiginnan av Erat,Polgara Besvärjerskan - 2,Polgara the Sorceress,,,,1999.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132323607.0,,
David Eddings,I Zandramas Spår,Sagan Om Mallorea - 4,Book Four Of The Malloreon,Sorceress of Darshiva,,,1994.0,,,B. Wahlström,placeholder.png,,,9789132318801.0,,
David Eddings,Knivens Sång,Tjuven Althalus Andra Boken,,,,,2004.0,Paperback,,B. Wahlström,placeholder.png,,,9789132434457.0,,
David Eddings,Kristallklyftan,Drömmarna - 3,Book Three Of The Dreamers,Crystal Gorge,,,2006.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332616.0,,
David Eddings,Kupoler Av Eld,Sagan Om Tamuli - 1,Book One Of The Tamuli,Domes Of Fire,,,1997.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321672.0,,
David Eddings,Murgoernas Konung,Sagan Om Mallorea - 2,Book Two Of The Malloreon,King of The Murgos,,,1993.0,,,B. Wahlström,placeholder.png,,,9789132317767.0,,
David Eddings,Profetians Tid,Sagan Om Belgarion - 2,Book Two Of The Belgarad,Queen of Sorcery,,,1990.0,,,B. Wahlström,placeholder.png,,,9789132315428.0,,
David Eddings,Rivas Drottning,Sagan Om Belgarion - 4,Book Four Of The Belgarad,Castle of Wizardry,,,1991.0,,,B. Wahlström,placeholder.png,,,9789132315923.0,,
David Eddings,Rivas Ättling,Belgarath Besvärjaren - 2,Belgarath the Sorcerer,,,,1997.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321351.0,,
David Eddings,Rubinriddaren,Sagan Om Elenien - 2,Book Two Of The Elenium,The Ruby Knight,,,1995.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132319815.0,,
David Eddings,Safirrosen,Sagan Om Elenien - 3,Book Three Of The Elenium,The Sapphire Rose,,,1996.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132320583.0,,
David Eddings,Sierskan Från Kell,Sagan Om Mallorea - 5,Book Five Of The Malloreon,The Seeress of Kell,,,1995.0,,,B. Wahlström,placeholder.png,,,9789132319396.0,,
David Eddings,Stenens Väktare,Sagan Om Belgarion - 1,Book One Of The Belgarad,,,,1989.0,,,B. Wahlström,placeholder.png,,,9789132314889.0,,
David Eddings,Yngre Gudar,Drömmarna - 4,Book Four Of The Dreamers,The Younger Gods,,,2007.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132333675.0,,
David Eddings,Äldre Gudar,Drömmarna - 1,Book One Of The Dreamers,The Elder Gods,,,2005.0,Hardcover,,Wahlströms Fantasy,placeholder.png,,,9789132331718.0,,
David Eddings,Ödets Fullbordan,Sagan Om Belgarion - 5,Book Five Of The Belgarad,Enchanters End Game,,,1992.0,,,B. Wahlström,placeholder.png,,,9789132316418.0,,
David Gemmell,Belägringen,Legender Från Drenai 1,,,,,2001.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132324642.0,,
David Gemmell,Den Vita Vargen,Legender Från Drenai 10,,,,,2006.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332876.0,,
David Gemmell,Druss - Dödsvandraren,Legender Från Drenai 5,,,,,2004.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132329838.0,,
David Gemmell,Hjältarna Från Bel-Azar,Legender Från Drenai 4,,,,,2003.0,,,B. Wahlström,placeholder.png,,,9789132328183.0,,
David Gemmell,Jakten På Vandraren,Legender Från Drenai 6,,,,,2004.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132329845.0,,
David Gemmell,Korphjärta,Riganterna 3,,,,,2009.0,,,Damm,placeholder.png,,,9789173514422.0,,
David Gemmell,Legenden Om Dödsvandraren,Legender Från Drenai 7,,,,,2005.0,,,B. Wahlström,placeholder.png,,,9789132331756.0,,
David Gemmell,Midnattsfalken,Riganterna 2,,,,,2008.0,Hardcover,,Damm,placeholder.png,,,9789173512886.0,,
David Gemmell,Nattens Och Dagens Svärd,Legender Från Drenai 11,,,,,2007.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332944.0,,
David Gemmell,Skuggornas Vandrare,Legender Från Drenai 9,,,,,2006.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332159.0,,
David Gemmell,Stormryttaren,Riganterna 4,,,,,2009.0,Hardcover,,Damm,placeholder.png,,,9789173514910.0,,
David Gemmell,Stormsvärd,Riganterna 1,,,,,2007.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132334030.0,,
David Gemmell,Tenaka Skuggprinsen,Legender Från Drenai 2,,,,,2002.0,,,B. Wahlström,placeholder.png,,,9789132324659.0,,
David Gemmell,Vandraren,Legender Från Drenai 3,,,,,2002.0,,,B. Wahlström,placeholder.png,,,9789132328008.0,,
David Gemmell,Vinterkrigarna,Legender Från Drenai 8,,,,,2005.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332043.0,,
David Morrell,Det Femte Yrket,,,,,,1991.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171310095.0,,
Deepak Chopra,Förbättra din hälsa med meditation,,Creating Health,,,,1989.0,Softcover,,Norstedts,placeholder.png,,,,9118835716,
