"Title","Sub Title","Author","Publisher","Publication Year","Original Title","Original Subtitle","Purchase Date","My rating","Cover","Categories","ISBN","Took","Notes","Format","Read It","Description"
"Knivens Sång","Tjuven Althalus Andra Boken","David Eddings","B. Wahlstrm","2004","","","2016-06-18","0","","","9789132434457","","","Paperback","No",""
"Kristallklyftan","Drömmarna - 3","David Eddings","B. Wahlstrom","2006","Book Three Of The Dreamers","Crystal Gorge","2016-06-18","0","","","9789132332616","","","Hardcover","No",""
"Kupoler Av Eld","Sagan Om Tamuli - 1","David Eddings","B. Wahlstrm","1997","Book One Of The Tamuli","Domes Of Fire","2016-06-18","0","","","9789132321672","","","Hardcover","Yes",""
"Murgoernas Konung","Sagan Om Mallorea - 2","David Eddings","B. Wahlstrom","1993","Book Two Of The Malloreon","King of The Murgos","2016-06-18","0","","","9789132317767","","","","Yes",""
"Profetians Tid","Sagan Om Belgarion - 2","David Eddings","B. Wahlstrom","1990","Book Two Of The Belgarad","Queen of Sorcery","2016-06-18","0","","","9789132315428","","","","Yes",""
"Rivas Drottning","Sagan Om Belgarion - 4","David Eddings","B. Wahlstrom","1991","Book Four Of The Belgarad","Castle of Wizardry","2016-06-18","0","","","9789132315923","","","","Yes",""
"Rivas Ättling","Belgarath Besvärjaren - 2","David Eddings","B. Wahlstrm","1997","Belgarath the Sorcerer","","2016-06-18","0","","","9789132321351","","","Hardcover","No",""
"Rubinriddaren","Sagan Om Elenien - 2","David Eddings","B. Wahlstrom","1995","Book Two Of The Elenium","The Ruby Knight","2016-06-18","0","","","9789132319815","","","Hardcover","Yes",""
"Safirrosen","Sagan Om Elenien - 3","David Eddings","B. Wahlstrom","1996","Book Three Of The Elenium","The Sapphire Rose","2016-06-18","0","","","9789132320583","","","Hardcover","Yes",""
"Sierskan Från Kell","Sagan Om Mallorea - 5","David Eddings","B. Wahlstrom","1995","Book Five Of The Malloreon","The Seeress of Kell","2016-06-18","0","","","9789132319396","","","","Yes",""
"Stenens Väktare","Sagan Om Belgarion - 1","David Eddings","B. Wahlstrom","1989","Book One Of The Belgarad","","2016-06-18","0","","","9789132314889","","","","Yes",""
"Yngre Gudar","Drömmarna - 4","David Eddings","B. Wahlstrom","2007","Book Four Of The Dreamers","The Younger Gods","2016-06-18","0","","","9789132333675","","","Hardcover","No",""
"Äldre Gudar","Drömmarna - 1","David Eddings","Wahlstroms Fantasy","2005","Book One Of The Dreamers","The Elder Gods","2016-06-18","0","","","9789132331718","","","Hardcover","No",""
"Ödets Fullbordan","Sagan Om Belgarion - 5","David Eddings","B. Wahlstrom","1992","Book Five Of The Belgarad","Enchanters End Game","2016-06-18","0","","","9789132316418","","","","Yes",""
"Belägringen","Legender Från Drenai 1","David Gemmell","B. Wahlstrom","2001","","","2016-06-18","0","","","9789132324642","","","Hardcover","No",""
"Den Vita Vargen","Legender Från Drenai 10","David Gemmell","B. Wahlstrom","2006","","","2016-06-18","0","","","9789132332876","","","Hardcover","No",""
"Druss - Dödsvandraren","Legender Från Drenai 5","David Gemmell","B. Wahlstrom","2004","","","2016-06-18","0","","","9789132329838","","","Hardcover","No",""
"Hjältarna Från Bel-Azar","Legender Från Drenai 4","David Gemmell","B. Wahlstrom","2003","","","2016-06-18","0","","","9789132328183","","","","No",""
